Keyword,Client,Competitor 1,Competitor 2,Competitor 3,Competitor 4,Competitor 5,Competitor 6,Competitor 7,Competitor 8,Search Volume,Keyword Difficulty,CPC,Keyword Intents,Client URL,Competitor 1 URL,Competitor 2 URL,Competitor 3 URL,Competitor 4 URL,Competitor 5 URL,Competitor 6 URL,Competitor 7 URL,Competitor 8 URL
photo booth,11,6,58,14,99,99,99,99,99,4400,39,1.09,commercial,https://www.adeptphotobooths.com.au/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
photobooth,53,2,27,55,99,99,99,99,99,3600,39,1.09,commercial,https://www.adeptphotobooths.com.au/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
photo booth hire,35,1,6,11,13,99,99,99,99,1900,39,1.34,commercial,https://www.adeptphotobooths.com.au/mandurah/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
photobooth hire,43,1,3,21,38,99,99,99,99,1300,32,1.34,commercial,https://www.adeptphotobooths.com.au/mandurah/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
360 photo booth,7,99,99,70,99,99,99,99,99,1000,14,1.3,"commercial, informational",https://www.adeptphotobooths.com.au/360-photo-booth/,,,https://lavishphotobooths.com.au/magic-360-booth/,,,,,
photo booth hire melbourne,15,2,1,4,10,99,99,99,99,880,41,1.52,commercial,https://www.adeptphotobooths.com.au/roaming-photo-booth/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
photo booth melbourne,12,1,3,2,6,99,99,99,99,880,37,1.49,commercial,https://www.adeptphotobooths.com.au/roaming-photo-booth/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
photo booths,8,77,68,3,99,99,99,99,99,880,34,1.09,informational,https://www.adeptphotobooths.com.au/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
face morph,9,99,99,99,99,99,99,99,99,590,30,0.48,transactional,https://www.adeptphotobooths.com.au/face-morphing/,,,,,,,,
glambot,9,99,99,99,99,99,99,99,99,590,24,3.44,transactional,https://www.adeptphotobooths.com.au/glambot/,,,,,,,,
photo booths melbourne,11,1,3,2,9,99,99,99,99,590,31,1.49,commercial,https://www.adeptphotobooths.com.au/roaming-photo-booth/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
photoboth,12,8,58,19,99,99,99,99,99,590,39,1.09,commercial,https://www.adeptphotobooths.com.au/roaming-photo-booth/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
photo booth hire perth,9,99,99,99,99,99,99,99,99,480,34,0.85,commercial,https://www.adeptphotobooths.com.au/,,,,,,,,
photobooth hire melbourne,35,1,2,4,9,99,99,99,99,480,41,1.52,commercial,https://www.adeptphotobooths.com.au/melbourne/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
photobooth melbourne,13,1,2,3,4,99,99,99,99,480,37,1.49,commercial,https://www.adeptphotobooths.com.au/roaming-photo-booth/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
360 photobooth,6,99,99,99,99,99,99,99,99,390,15,1.3,commercial,https://www.adeptphotobooths.com.au/360-photo-booth/,,,,,,,,
photo booth perth,7,100,99,99,99,99,99,99,99,390,34,0.83,commercial,https://www.adeptphotobooths.com.au/,https://shutterphotobooth.com.au/,,,,,,,
360 camera booth,6,99,99,99,99,99,99,99,99,320,14,0.99,commercial,https://www.adeptphotobooths.com.au/360-photo-booth/,,,,,,,,
booth photo booth,8,9,87,46,99,99,99,99,99,320,30,0.95,informational,https://www.adeptphotobooths.com.au/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
photo booth backdrop,16,9,73,10,99,99,99,99,99,320,5,1.05,commercial,https://www.adeptphotobooths.com.au/backdrops/,https://shutterphotobooth.com.au/photo-booth-backdrops/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/additions/,,,,,
photo booth photo booth,8,13,31,27,67,99,99,99,99,320,25,1.09,informational,https://www.adeptphotobooths.com.au/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
hire photo booth,28,1,10,73,20,99,99,99,99,260,32,1.34,informational,https://www.adeptphotobooths.com.au/mandurah/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
